App,review_date,review_description,rating,thumbsUpCount,developer_response,developer_response_date,appVersion
Zomato,23-07-2023 15:52,"So basically , it's the best approach you'll ever find 😉 , like it has every restaurant you could ever find in your city !!! Ans isn't every delivery on time !,) just 2 negative points for zomato that some orders take a very long period of time and some times the order prices are too high . No doubt this is the best food ordering app but some sort of silly things are not convenient. So kindly fix these problems 🙏",5,99,,,17.6.0
Zomato,08-07-2023 04:32,"Always Late Delivery. No change. Late delivery 😒😒 And the map is showing is not an actual map. Showing roads and streets unaligned. For almost six months, it's showing like this. I check on every update. It doesn't fix. Just you order food for yourself. You will get know. Kindly have a look and fix it ASAP. Swiggy's map is perfect.",1,416,"Hi Magesh, sorry to hear about that. Please write to us at psreviewsupport@zomato.com and we'll reach out to you at the earliest.",08-07-2023 11:35,17.5.8
Zomato,24-07-2023 21:14,"This app is froude with their zomato gold, i have subscribed for their gold membership and all of the sudden they stopped showing me all restaurant at night, however i can see it all with deferent phone for same location. There are no way to reach to there customer care for this issue and they do not respond on there email",1,1,"Hi there, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we’ll get this checked immediately.",24-07-2023 21:15,17.6.2
Zomato,24-07-2023 17:07,I tried 100 times adding an alternate number in your application but it's not done due to network issues I am unable to call and respond to your calls so I need to add my alternate number for convenience but nothing happens after the window opens to add contact. Kindly help me regarding the same.,1,1,"Hi there, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we’ll get this checked immediately.",24-07-2023 17:09,17.6.2
Zomato,22-07-2023 13:28,"In recent years, Zomato support has become less responsive to customers' complaints, and chat support is not as effective as it once was. However, I activated Zomato gold last month, and now I observe that my profile account has been down upgraded to Zomato for more than 30 days. Considering the regular updates on Zomato apps, I had hoped that the issue would be resolved soon. However, the problem persists. I would appreciate it if you could check and let me know.",1,30,"Hi Shaik, we're sorry to hear that. We are constantly working to improve our support infrastructure. It would be great if you can share your concern at psreviewsupport@zomato.com, so we can address the same on priority.",23-07-2023 10:29,17.6.2
Zomato,23-07-2023 06:34,Awful customer service. Zomato does not have a logical protocol for when an item is missing from your order. They simply say they tried calling the restaurant to validate but the restaurant isn't picking up the phone call. This has happened several times in last 2 days. I escalated to a supervisor and he simply refused to answer my question on their protocol. I smell something fishy. You have lost a zomato gold customer 😒,1,18,"Hi there, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we’ll get this checked immediately.",23-07-2023 06:35,17.6.2
Zomato,23-07-2023 04:04,"Worst when it comes to support from them in case of missing or incorrect orders, they do not trust the customers, help chat is there still they ask you to email the issue and they connect with restaurants for verification and in case restaurant is not reachable they wont do anything and not even respond you on email for follow ups . There are much better options to go for guys other than Zomato, i will be stopping using such useless app, recommend you the same.",1,8,,,17.5.9
Zomato,17-07-2023 04:47,Not at all recommended. I've been using this Zomato from last 6 months with Zomato gold. Main issue I have faced is... If we got incorrect order they won't replace or refund or give you any coupon.. I've personally faced this many times in last few months. Same with spilled order. Even I've got spoiled food once and told the about the issue and they told from next time they make sure everything go proper... I've thrown the food in dustbin. Unfortunately we can't upload screenshots in play Store,1,56,"Hi Nitesh, we extend our sincere apologies towards the inconvenience caused to you. We'd request you to kindly write to us at psreviewsupport@zomato.com and we'll reach out to you immediately so as to resolve this.",20-07-2023 09:26,17.5.8
Zomato,06-07-2023 16:52,A very good app for food delivery. Could do more with adding more options by adding more options for restaurants. The above was Written in 2020. Now on 2022 the app is becoming useless... Their customer service has no clue what is happening or how to solve issues. The app is going backwards rather than being progressive... instead of making it progress with time the way the app is it seems like just stagnant and not wanting to improve with the problems they are facing or will face in future...,1,225,"Hi there, thank you for bringing this matter to our notice. Your feedback is duly noted, and we'll certainly work to improve our services based on the same. We hope you have a better experience with us in the future.",15-04-2022 06:29,17.5.8
Zomato,19-07-2023 15:01,"I have had really mixed experience with zomato, sad to see most of their tie ups have not been validated by them only when it comes to taste. Food pictures don't match actual food. They must improve tie ups especially for vegetarians. THERMCOL PACKAGING this should be MUST MUST option for customer who prioritise health and don't prefer plastic and aluminium.",2,13,"Hi there, we are really sorry for the bad experience. Please write to us at psreviewsupport@zomato.com and we’ll get this checked immediately.",21-07-2023 08:17,17.6.0
